 d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
← VET INFO (pre-filled — do not edit),,,,,,,,← CALL OUTCOME (VA fills after each call) →,,,,,,← PRICE ENTRY — fill in prices collected. Leave blank if not given. →,,,,,,,,,,,,,,,,,,,,← FINAL →,,
#,Vet Name,Phone,Address,City,Zip,Vet Type,Hours,"Call
Status","No Prices
Reason","Accepting
New Patients","CareCredit
Accepted","Contact
Name",Call Notes,"Exam
Fee ($)","Vet Tech
Fee (S)","Rabies
($)","DHPP
($)","FVRCP
($)","FeLV
($)","Bordetella
($)","Canine Flu
($)","Lepto
($)","Vaccine Pkg
Dog ($)","Vaccine Pkg
Cat ($)","Spay
($)","Neuter
($)","Dental
Cleaning ($)","Dental No
Anesthesia ($)","X-Ray
($)","Bloodwork
($)","Anesthesia
($)","Emergency
Visit ($)","Urgent
Care ($)","Species
Seen",Notes,"Verified
by Susan"
1122,Oasis Animal Wellness,(805) 410-4086,505 E Thousand Oaks Blvd,Thousand Oaks,91360,General Practice,"Tuesday: 8:00 AM – 5:00 PM
Wednesday: 8:00 AM – 5:00 PM
Thursday: 8:00 AM – 5:00 PM
Friday: 8:00 AM – 5:00 PM
Saturday: 8:00 AM – 5:00 PM
Sunday: 9:00 AM – 2:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1123,Paw Works Veterinary Hospital,(805) 870-9908,1625 E Thousand Oaks Blvd # A,Thousand Oaks,91362,General Practice,"Tuesday: 7:30 AM – 5:00 PM
Wednesday: 7:30 AM – 5:00 PM
Thursday: 7:30 AM – 5:00 PM
Friday: 7:30 AM – 5:00 PM
Saturday: 7:30 AM – 3:30 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1124,Pets First Veterinary Hospital,(805) 372-0800,60 N Rancho Rd Suite 160,Thousand Oaks,91362,General Practice,"Monday: 12:00 PM – 10:00 PM
Tuesday: 12:00 PM – 10:00 PM
Wednesday: 12:00 PM – 10:00 PM
Saturday: 12:00 PM – 10:00 PM
Sunday: 12:00 PM – 10:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1125,Skyline Animal Hospital,(805) 557-8252,74 N Skyline Dr,Thousand Oaks,91362,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1126,The Cat Doctor,(805) 495-1678,760 E Thousand Oaks Blvd,Thousand Oaks,91360,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1127,The Pet Hospital of Thousand Oaks,(805) 309-0222,246 Lombard St D,Thousand Oaks,91360,General Practice,"Tuesday: 9:00 AM – 6:00 PM
Wednesday: 9:00 AM – 6:00 PM
Thursday: 9:00 AM – 6:00 PM
Friday: 9:00 AM – 6:00 PM
Saturday: 9:00 AM – 6:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1128,UrgentPaws,(805) 738-6030,520 N Ventu Park Rd Suite 200,Thousand Oaks,91320,General Practice,"Monday: 10:00 AM – 8:00 PM
Tuesday: 3:00 PM – 11:00 PM
Wednesday: 3:00 PM – 11:00 PM
Thursday: 3:00 PM – 11:00 PM
Friday: 3:00 PM – 11:00 PM
Saturday: 3:00 PM – 11:00 PM
Sunday: 10:00 AM – 8:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1129,VCA Camino Animal Hospital,(805) 497-0969,700 N Moorpark Rd,Thousand Oaks,91360,General Practice,"Tuesday: 8:00 AM – 5:30 PM
Wednesday: 8:00 AM – 5:30 PM
Thursday: 8:00 AM – 5:30 PM
Friday: 8:00 AM – 5:30 PM
Saturday: 8:00 AM – 5:30 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1130,Veterinary Specialty and Emergency Center of Thousand Oaks,(805) 491-6446,2967 N Moorpark Rd,Thousand Oaks,91360,General Practice,Monday: Open 24 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1131,ACCESS Specialty Animal Hospitals - South Bay,(310) 320-8300,2551 W 190th St,Torrance,90504,General Practice,Monday: Open 24 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1132,Bay Cities Pet Hospital,(310) 371-6508,20447 Hawthorne Blvd,Torrance,90503,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1133,Bixby Animal Specialty and Emergency,(310) 375-4244,23811 Hawthorne Blvd,Torrance,90505,General Practice,Monday: Open 24 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1134,Country Hills Animal Clinic,(310) 539-3851,18512 Hawthorne Blvd,Torrance,90504,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM
Sunday: 8:00 AM – 1:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1135,Harbor Animal Hospital,(310) 328-3733,2078 Torrance Blvd,Torrance,90501,General Practice,"Tuesday: 8:30 AM – 5:30 PM
Wednesday: 8:30 AM – 5:30 PM
Thursday: 8:30 AM – 5:30 PM
Friday: 8:30 AM – 5:30 PM
Saturday: 8:30 AM – 5:30 PM
Sunday: 8:00 AM – 3:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1136,Ohana Veterinary Clinic,(310) 328-0380,22231 S Vermont Ave,Torrance,90502,General Practice,"Tuesday: 8:00 AM – 5:00 PM
Wednesday: 8:00 AM – 5:00 PM
Thursday: 8:00 AM – 5:00 PM
Friday: 8:00 AM – 5:00 PM
Saturday: 8:00 AM – 5:00 PM
Sunday: 8:00 AM – 1:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1137,Plaza Del Amo Animal Hospital & Pet Keeper,(310) 530-5511,3430 Fujita St,Torrance,90505,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM
Sunday: 8:00 AM – 4:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1138,Thrive Pet Healthcare Urgent Care – Torrance,(424) 453-1500,3511 Pacific Coast Hwy Suite A,Torrance,90505,General Practice,"Monday: 8:00 AM – 6:00 PM
Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM
Sunday: 8:00 AM – 6:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1139,Torrance Animal Clinic,(424) 318-3589,2441 W 205th St,Torrance,90501,General Practice,"Monday: 8:00 AM – 8:00 PM
Tuesday: 8:00 AM – 8:00 PM
Wednesday: 8:00 AM – 8:00 PM
Thursday: 8:00 AM – 8:00 PM
Friday: 8:00 AM – 8:00 PM
Saturday: 8:00 AM – 8:00 PM
Sunday: 8:00 AM – 8:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1140,Torrance Companion Animal Hospital,(310) 781-1434,22221 S Vermont Ave,Torrance,90502,General Practice,"Monday: 9:00 AM – 5:00 PM
Tuesday: 9:00 AM – 5:00 PM
Wednesday: 9:00 AM – 5:00 PM
Friday: 9:00 AM – 5:00 PM
Saturday: 9:00 AM – 5:00 PM
Sunday: 9:00 AM – 5:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1141,VCA Clarmar Animal Hospital,(310) 371-2474,18305 Hawthorne Blvd,Torrance,90504,General Practice,"Tuesday: 7:00 AM – 6:00 PM
Wednesday: 7:00 AM – 6:00 PM
Thursday: 7:00 AM – 6:00 PM
Friday: 7:00 AM – 6:00 PM
Saturday: 7:00 AM – 6:00 PM
Sunday: 8:00 AM – 4:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1142,VCA Pacific Veterinary Center,(310) 791-5123,23629 Hawthorne Blvd,Torrance,90505,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM
Sunday: 8:00 AM – 4:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1143,Western Veterinary Group,(310) 326-0000,24260 Crenshaw Blvd,Torrance,90505,General Practice,"Tuesday: 7:30 AM – 6:00 PM
Wednesday: 7:30 AM – 6:00 PM
Thursday: 7:30 AM – 6:00 PM
Friday: 7:30 AM – 6:00 PM
Saturday: 7:30 AM – 6:00 PM
Sunday: 8:00 AM – 4:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1144,Advanced Veterinary Medical Imaging,(949) 559-7289,3047 Edinger Ave,Tustin,92780,General Practice,"Monday: 8:00 AM – 5:00 PM
Tuesday: 8:00 AM – 5:00 PM
Wednesday: 8:00 AM – 5:00 PM
Thursday: 8:00 AM – 5:00 PM
Friday: 8:00 AM – 5:00 PM
Saturday: 8:00 AM – 5:00 PM
Sunday: 8:00 AM – 5:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1145,Animal Clinic of Tustin Ranch Irvine,(714) 730-1442,13115 Jamboree Rd,Tustin,92782,General Practice,"Tuesday: 7:00 AM – 6:00 PM
Wednesday: 7:00 AM – 6:00 PM
Thursday: 7:00 AM – 6:00 PM
Friday: 7:00 AM – 6:00 PM
Saturday: 7:00 AM – 6:00 PM
Sunday: 8:00 AM – 4:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1146,AVSG Internal Medicine Emergency & Critical Care,(949) 653-9300,2965 Edinger Ave,Tustin,92780,General Practice,Monday: Open 24 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1147,Newport Pet Clinic,(714) 838-1978,13011 Newport Ave UNIT 107,Tustin,92780,General Practice,"Tuesday: 9:00 AM – 6:00 PM
Wednesday: 9:00 AM – 6:00 PM
Thursday: 9:00 AM – 6:00 PM
Friday: 7:00 AM – 2:00 PM
Saturday: 9:00 AM – 6:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1148,Saddleback Animal Hospital,(714) 832-8686,1082 Bryan Ave,Tustin,92780,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 5:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM
Sunday: 8:00 AM – 3:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1149,Tustana Animal Hospital,(714) 544-4440,1142 El Camino Real,Tustin,92780,General Practice,"Tuesday: 7:00 AM – 6:00 PM
Wednesday: 7:00 AM – 6:00 PM
Thursday: 7:00 AM – 6:00 PM
Friday: 7:00 AM – 6:00 PM
Saturday: 7:00 AM – 6:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1150,Tustin Care Animal Hospital,(657) 266-0322,14051 Newport Ave B,Tustin,92780,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM
Sunday: 8:00 AM – 3:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1151,Tustin Legacy Animal Hospital,(714) 587-4888,15100 Kensington Park Dr Ste 520,Tustin,92782,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1152,Tustin Santa Ana Vet Hospital,(714) 544-3124,741 W First St,Tustin,92780,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 12:00 PM
Saturday: 8:00 AM – 6:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1153,Tustin Village Animal Hospital,(714) 278-3935,13942 Newport Ave,Tustin,92780,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM
Sunday: 8:00 AM – 4:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1154,VCA Orange County Veterinary Specialists,(949) 654-8950,3021 Edinger Ave,Tustin,92780,General Practice,Monday: Open 24 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1155,VCA Tustin Animal Hospital,(714) 838-3433,631 E 1st St,Tustin,92780,General Practice,"Monday: 7:00 AM – 6:00 PM
Tuesday: 7:00 AM – 6:00 PM
Wednesday: 7:00 AM – 6:00 PM
Thursday: 7:00 AM – 6:00 PM
Friday: 7:00 AM – 6:00 PM
Saturday: 7:00 AM – 6:00 PM
Sunday: 7:00 AM – 6:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1156,"Veterinary Cancer Group OC, A Thrive Pet Healthcare Partner",(949) 552-8274,2887 Edinger Ave,Tustin,92780,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1157,Veterinary Neurology Center,(949) 784-8703,3051 Edinger Ave,Tustin,92780,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM
Sunday: 8:00 AM – 6:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1158,Veterinary Surgical Specialists,(949) 936-0055,2937 Edinger Ave,Tustin,92780,General Practice,"Monday: 8:00 AM – 6:00 PM
Tuesday: 7:00 AM – 6:00 PM
Wednesday: 7:00 AM – 6:00 PM
Thursday: 7:00 AM – 6:00 PM
Friday: 7:00 AM – 6:00 PM
Saturday: 7:00 AM – 6:00 PM
Sunday: 8:00 AM – 6:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1159,Angels' Care Animal Hospital,(909) 982-2888,659 E 15th St Q,Upland,91786,General Practice,"Tuesday: 9:00 AM – 5:00 PM
Wednesday: 9:00 AM – 5:00 PM
Thursday: 9:00 AM – 5:00 PM
Friday: 9:00 AM – 5:00 PM
Saturday: 9:00 AM – 5:00 PM
Sunday: 9:00 AM – 1:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1160,Foothill Animal Hospital Best Upland Vet,(909) 985-1988,70 N Central Ave,Upland,91786,General Practice,"Tuesday: 9:00 AM – 5:00 PM
Wednesday: 9:00 AM – 5:00 PM
Thursday: 9:00 AM – 5:00 PM
Friday: 9:00 AM – 2:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1161,Inland Valley Veterinary Specialists & Emergency Center,(840) 242-2011,10 W 7th St,Upland,91786,General Practice,Monday: Open 24 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1162,"Los Olivos Animal Hospital Upland, Urgent care",(840) 800-1971,373 E Foothill Blvd Suite A,Upland,91786,General Practice,"Monday: 7:00 PM – 11:30 PM
Tuesday: 5:00 PM – 10:30 PM
Wednesday: 5:00 PM – 10:30 PM
Thursday: 5:00 PM – 10:30 PM
Friday: 5:00 PM – 10:30 PM
Saturday: 7:00 PM – 11:30 PM
Sunday: 7:00 PM – 11:30 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1163,Mountain View Veterinary Hospital,(909) 982-3288,1655 N Mountain Ave # 110,Upland,91784,General Practice,"Tuesday: 8:00 AM – 5:30 PM
Wednesday: 8:00 AM – 5:30 PM
Thursday: 8:00 AM – 5:30 PM
Friday: 8:00 AM – 5:30 PM
Saturday: 8:00 AM – 5:30 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1164,Pet Care Center,(909) 280-2418,823 W Foothill Blvd,Upland,91786,General Practice,"Tuesday: 9:00 AM – 8:00 PM
Wednesday: 9:00 AM – 8:00 PM
Thursday: 9:00 AM – 8:00 PM
Friday: 9:00 AM – 8:00 PM
Saturday: 9:00 AM – 8:00 PM
Sunday: 9:00 AM – 8:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1165,Pet Time Animal Hospital,(909) 949-7387,1103 E 16th St,Upland,91784,General Practice,"Tuesday: 7:30 AM – 6:00 PM
Wednesday: 7:30 AM – 6:00 PM
Thursday: 7:30 AM – 6:00 PM
Friday: 7:30 AM – 6:00 PM
Saturday: 7:30 AM – 6:00 PM
Sunday: 7:30 AM – 4:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1166,VCA Central Animal Hospital,(909) 981-2855,281 N Central Ave,Upland,91786,General Practice,"Monday: 9:00 AM – 8:00 PM
Tuesday: 9:00 AM – 8:00 PM
Wednesday: 9:00 AM – 8:00 PM
Thursday: 9:00 AM – 8:00 PM
Friday: 9:00 AM – 8:00 PM
Saturday: 9:00 AM – 8:00 PM
Sunday: 9:00 AM – 8:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1167,Veterinary Eye Institute Upland,(909) 895-4010,1041 E 16th St STE C,Upland,91784,General Practice,"Tuesday: 8:00 AM – 5:00 PM
Wednesday: 8:00 AM – 5:00 PM
Thursday: 8:00 AM – 5:00 PM
Friday: 8:00 AM – 5:00 PM
Saturday: 8:00 AM – 5:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1168,We Talk Pets! Animal Hospital,(909) 608-0001,1042 N Mountain Ave A,Upland,91786,General Practice,"Tuesday: 8:30 AM – 5:30 PM
Wednesday: 8:30 AM – 5:30 PM
Thursday: 8:30 AM – 5:30 PM
Friday: 8:30 AM – 5:30 PM
Saturday: 8:30 AM – 5:30 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1169,101 Pet Vet,(805) 656-2287,2301 S Victoria Ave,Ventura,93003,General Practice,"Tuesday: 8:00 AM – 5:00 PM
Wednesday: 8:00 AM – 5:00 PM
Thursday: 8:00 AM – 5:00 PM
Friday: 8:00 AM – 5:00 PM
Saturday: 8:00 AM – 5:00 PM
Sunday: 8:00 AM – 3:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1170,Buena Vet,(805) 642-2191,3986 E Main St,Ventura,93003,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1171,Cornelius Pet Hospital,(805) 475-8383,2387 E Main St,Ventura,93003,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1172,East Ventura Animal Hospital,(805) 647-8430,10225 Telephone Rd # D,Ventura,93004,General Practice,"Tuesday: 9:00 AM – 6:00 PM
Wednesday: 9:00 AM – 6:00 PM
Thursday: 9:00 AM – 6:00 PM
Friday: 9:00 AM – 6:00 PM
Saturday: 9:00 AM – 6:00 PM
Sunday: 8:00 AM – 12:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1173,Horizon Veterinary Specialists,(805) 303-8996,5280 Valentine Rd Ste 120,Ventura,93003,General Practice,Monday: Open 24 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1174,McNeil Veterinary Services,(805) 648-7297,1766 E Thompson Blvd,Ventura,93001,General Practice,"Tuesday: 8:30 AM – 5:00 PM
Wednesday: 8:30 AM – 5:00 PM
Thursday: 8:30 AM – 5:00 PM
Friday: 8:30 AM – 12:00 PM
Saturday: 8:30 AM – 5:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1175,Moore Veterinary Care,(805) 643-4838,853 E Main St,Ventura,93001,General Practice,"Tuesday: 9:00 AM – 5:00 PM
Wednesday: 9:00 AM – 5:00 PM
Thursday: 9:00 AM – 12:00 PM
Friday: 9:00 AM – 12:00 PM
Saturday: 9:00 AM – 5:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1176,Ohana Pet Hospital,(805) 436-2051,4547 Telephone Rd suite a,Ventura,93003,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM
Sunday: 8:00 AM – 5:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1177,Ohana Urgent Care,(805) 940-0378,2859 Loma Vista Rd,Ventura,93003,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1178,The Animal Doctor,(805) 647-8596,10195 Telephone Rd,Ventura,93004,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1179,Ventura Veterinary Hospital,(805) 648-2797,1784 E Thompson Blvd,Ventura,93001,General Practice,"Tuesday: 8:00 AM – 5:00 PM
Wednesday: 8:00 AM – 5:00 PM
Thursday: 8:00 AM – 5:00 PM
Friday: 8:00 AM – 5:00 PM
Saturday: 8:00 AM – 5:00 PM
Sunday: 9:00 AM – 12:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1180,Veterinary Medical and Surgical Group,(805) 666-3228,2199 Sperry Ave,Ventura,93003,General Practice,Tuesday: 8:00 AM – 8:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1181,Veterinary MRI,(805) 339-2290,2199 Sperry Ave,Ventura,93003,General Practice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1182,VetSurg,(805) 850-2180,4839 Market St,Ventura,93003,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 4:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1183,Hesperia Veterinary Services,(760) 244-3833,12624 Amargosa Rd,Victorville,92392,General Practice,"Tuesday: 8:00 AM – 5:00 PM
Wednesday: 8:00 AM – 5:00 PM
Thursday: 8:00 AM – 5:00 PM
Friday: 8:00 AM – 5:00 PM
Saturday: 8:00 AM – 5:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1184,VCA Mesa Animal Hospital,(760) 245-0109,14643 Palmdale Rd,Victorville,92392,General Practice,"Tuesday: 7:00 AM – 6:00 PM
Wednesday: 7:00 AM – 6:00 PM
Thursday: 7:00 AM – 6:00 PM
Friday: 7:00 AM – 6:00 PM
Saturday: 7:00 AM – 6:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1185,Aloha Animal Hospital,(760) 724-8313,2020 E Vista Way,Vista,92084,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1186,Alta Mira Animal Hospital,(760) 726-8918,998 S Santa Fe Ave,Vista,92084,General Practice,"Tuesday: 8:00 AM – 5:00 PM
Wednesday: 8:00 AM – 5:00 PM
Thursday: 9:00 AM – 4:00 PM
Friday: 8:00 AM – 5:00 PM
Saturday: 8:00 AM – 5:00 PM
Sunday: 8:00 AM – 2:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1187,Freddie's Place Animal Hospital & Urgent Care,(760) 373-3343,2391 S Melrose Dr,Vista,92081,General Practice,"Monday: 10:00 AM – 10:00 PM
Tuesday: 8:30 AM – 10:00 PM
Wednesday: 8:30 AM – 10:00 PM
Thursday: 8:30 AM – 10:00 PM
Friday: 8:30 AM – 10:00 PM
Saturday: 8:30 AM – 10:00 PM
Sunday: 10:00 AM – 10:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1188,Melrose Veterinary Hospital,(760) 727-5151,1680 S Melrose Dr #104,Vista,92081,General Practice,"Tuesday: 7:30 AM – 6:00 PM
Wednesday: 7:30 AM – 7:00 PM
Thursday: 7:30 AM – 6:00 PM
Friday: 7:30 AM – 7:00 PM
Saturday: 7:30 AM – 6:00 PM
Sunday: 8:30 AM – 4:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1189,Mohnacky Animal Hospitals of Vista,(760) 758-8004,971 Vale Terrace Dr,Vista,92084,General Practice,"Tuesday: 8:00 AM – 5:00 PM
Wednesday: 8:00 AM – 5:00 PM
Thursday: 8:00 AM – 5:00 PM
Friday: 8:00 AM – 5:00 PM
Saturday: 8:00 AM – 5:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1190,North County Animal Hospital,(760) 284-1966,445 Hacienda Dr Suite 200,Vista,92081,General Practice,"Tuesday: 9:00 AM – 6:00 PM
Wednesday: 9:00 AM – 6:00 PM
Thursday: 9:00 AM – 6:00 PM
Friday: 9:00 AM – 6:00 PM
Saturday: 9:00 AM – 6:00 PM
Sunday: 9:00 AM – 4:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1191,Palomar Animal Hospital,(760) 727-7622,2331 S Melrose Dr,Vista,92081,General Practice,"Monday: 8:00 AM – 4:00 PM
Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM
Sunday: 8:00 AM – 4:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1192,Petahead,(747) 888-8658,760B Sycamore Ave,Vista,92083,General Practice,"Monday: 9:00 AM – 6:00 PM
Tuesday: 9:00 AM – 6:00 PM
Wednesday: 9:00 AM – 6:00 PM
Thursday: 9:00 AM – 6:00 PM
Friday: 9:00 AM – 6:00 PM
Saturday: 9:00 AM – 6:00 PM
Sunday: 9:00 AM – 6:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
